1;Mérignat;1450;5.43333;46.0667
1;Saint-Éloi;1800;5.15;45.9333
1;La Chapelle-du-Châtelard;1240;5.03333;46.0667
1;Saint-Jean-de-Niost;1800;5.21667;45.8333
1;Savigneux;1480;4.85;46
1;Nattages;1300;5.76667;45.7333
1;Saint-Benoît;1300;5.58333;45.7
1;Douvres;1500;5.36667;45.9833
1;Francheleins;1090;4.8;46.0667
1;Dortan;1590;5.66667;46.3167
1;Saint-Germain-les-Paroisses;1300;5.61667;45.7667
1;Miribel;1700;4.95306;45.8245
1;Lancrans;1200;5.83333;46.1333
1;Échenevex;1170;6.03333;46.3167
1;Saint-Jean-sur-Veyle;1290;4.91667;46.25
1;Billiat;1200;5.78333;46.0667
1;L'Abergement-de-Varey;1640;5.41667;46
1;Villeneuve;1480;4.83667;46.0212
1;Villars-les-Dombes;1330;5.01667;46
1;Thézillieu;1110;5.6;45.8833
1;Saint-Étienne-sur-Reyssouze;1190;5;46.4
1;Souclin;1150;5.41667;45.8667
1;Saint-Just;1250;5.28;46.1903
1;Civrieux;1390;4.88333;45.9167
1;Argis;1230;5.48333;45.9333
1;Talissieu;1510;5.71667;45.8667
1;Birieux;1330;5.03333;45.95
1;Saint-Julien-sur-Veyle;1540;4.95;46.2
1;Thoiry;1710;5.97973;46.2364
1;Laiz;1290;4.88333;46.25
1;Cressin-Rochefort;1350;5.76667;45.7667
1;Saint-Champ;1300;5.73333;45.7833
1;Saint-Georges-sur-Renon;1400;5.03333;46.1
1;Lantenay;1430;5.53333;46.05
1;Vernoux;1560;5.11667;46.4833
1;Cormaranche-en-Bugey;1110;5.6;45.95
1;Sainte-Euphémie;1600;4.78333;45.9667
1;Beaupont;1270;5.26667;46.4
1;Brens;1300;5.69473;45.7187
1;Ramasse;1250;5.35;46.2
1;Divonne-les-Bains;1220;6.13333;46.3667
1;Léaz;1200;5.88333;46.1
1;Villes;1200;5.78333;46.0833
1;Saint-Julien-sur-Reyssouze;1560;5.11667;46.4
1;Groslée;1680;5.56667;45.7167
1;Vandeins;1660;5.08333;46.2167
1;Verjon;1270;5.35;46.35
1;Saint-André-sur-Vieux-Jonc;1240;5.06667;46.15
1;Saint-André-d'Huiriat;1290;4.91667;46.2167
1;Grilly;1220;6.11667;46.3333
1;Cessy;1170;6.06667;46.3167
1;Ordonnaz;1510;5.53333;45.8333
1;Vescours;1560;5.03333;46.4667
1;Meillonnas;1370;5.35;46.25
1;Géovreisset;1100;5.6;46.25
1;Ceyzérieu;1350;5.73333;45.8333
1;Béard-Géovreissiat;1460;5.56667;46.2
1;La Burbanche;1510;5.56667;45.85
1;Perrex;1540;4.98333;46.2333
1;Villemotier;1270;5.31667;46.35
1;Jasseron;1250;5.33333;46.2167
1;Corveissiat;1250;5.48333;46.2333
1;Journans;1250;5.33333;46.15
1;Sermoyer;1190;4.98333;46.5
1;Charix;1130;5.68333;46.1833
